Date,Open,High,Low,Close,Adj Close,Volume,SMA(Open) 10D,SMA(High) 10D,SMA(Low) 10D,SMA(Close) 10D,SMA(Adj Close) 10D,SMA(Volume) 10D
2021-05-19,1980,2016.449951,1972,1997.050049,1990.64624,7530294,,,,,,
2021-05-20,1997.900024,2010.900024,1981,1985.400024,1979.033569,5271497,,,,,,
2021-05-21,1992,2009.599976,1986,2002.550049,1996.128662,4977555,,,,,,
2021-05-24,2008,2009.800049,1982,1985.650024,1979.282837,3946636,,,,,,
2021-05-25,1996.400024,1997,1960,1963.150024,1956.85498,6821015,,,,,,
2021-05-26,1975,1979.5,1965.300049,1970.050049,1963.73291,3452113,,,,,,
2021-05-27,1970.300049,1993,1962.25,1976.099976,1969.763428,12377100,,,,,,
2021-05-28,1990,2105,1990,2094.800049,2088.082764,26060864,,,,,,
2021-05-31,2102,2191.699951,2085.050049,2160.300049,2153.372803,27285782,,,,,,
2021-06-01,2166,2202,2146.5,2168.899902,2161.945068,12928379,,,,,,
2021-06-02,2157,2209.5,2157,2201.25,2194.191406,11366816,,,,,,
2021-06-03,2221,2250,2196.100098,2209.649902,2202.564453,11064116,,,,,,
2021-06-04,2214.800049,2216.449951,2184.25,2190.5,2183.47583,6677278,,,,,,
2021-06-07,2202,2242,2185,2227.399902,2220.257568,7539326,,,,,,
2021-06-08,2226.600098,2227.149902,2198.149902,2214.600098,2207.498779,4464889,,,,,,
2021-06-09,2219,2221,2157.949951,2175,2168.025635,5265326,,,,,,
2021-06-10,2193.399902,2230,2177.550049,2183,2176,6532832,,,,,,
2021-06-11,2182.899902,2228,2180.100098,2213.149902,2213.149902,6351520,,,,,,
2021-06-14,2215,2258.25,2195.050049,2244.899902,2244.899902,9383416,,,,,,
2021-06-15,2261,2274.899902,2240.300049,2250,2250,7002898,,,,,,
2021-06-16,2244.899902,2247.050049,2205.850098,2211.600098,2211.600098,4982975,,,,,,
2021-06-17,2200,2235,2179.899902,2215.649902,2215.649902,7266765,,,,,,
2021-06-18,2225.5,2235,2184.350098,2225.649902,2225.649902,13553801,,,,,,
2021-06-21,2203.5,2247.5,2200.149902,2237.25,2237.25,5624044,,,,,,
2021-06-22,2254,2261,2219.350098,2225.75,2225.75,5940386,,,,,,
2021-06-23,2250,2250.600098,2201.699951,2205.350098,2205.350098,7685796,,,,,,
2021-06-24,2206.850098,2214.600098,2140,2153.5,2153.5,42209687,,,,,,
2021-06-25,2153.5,2153.5,2081.100098,2104.449951,2104.449951,25546334,,,,,,
2021-06-28,2122,2126.5,2081,2086,2086,9357852,,,,,,
2021-06-29,2089.5,2109,2084.100098,2087.800049,2087.800049,12526981,,,,,,
2021-06-30,2096.25,2122.649902,2091.050049,2110.649902,2110.649902,9120556,,,,,,
2021-07-01,2118,2123.149902,2095,2097.949951,2097.949951,5784627,,,,,,
2021-07-02,2097,2132.899902,2092.949951,2129.050049,2129.050049,6500973,,,,,,
2021-07-05,2136.449951,2153.550049,2131.5,2150.199951,2150.199951,5400604,,,,,,
2021-07-06,2144.949951,2148.899902,2120.199951,2124.800049,2124.800049,4646312,,,,,,
