Date,Open,High,Low,Close,AdjClose,Volume,SMAOpen,SMAHigh,SMALow,SMAClose,SMAAdjClose,SMAVolumeI
2021-02-16,2039.75,2079.40,2035.00,2059.50,2052.90,9886093.00,1975.44,2006.29,1958.13,1985.00,1978.63,11465847.70
2021-02-17,2060.00,2095.95,2050.60,2083.25,2076.57,10957388.00,1988.61,2020.68,1973.19,2000.26,1993.85,11163163.70
2021-02-18,2085.00,2108.40,2059.10,2067.70,2061.07,8605531.00,2004.71,2037.52,1988.60,2014.60,2008.14,10841032.00
2021-02-19,2057.00,2104.95,2053.30,2080.30,2073.63,10800704.00,2017.41,2053.55,2001.93,2030.25,2023.74,10986655.40
2021-02-22,2080.00,2089.90,1994.95,2008.10,2001.66,10985697.00,2032.10,2065.64,2008.52,2035.92,2029.39,11107611.50
2021-02-23,2048.00,2052.90,2013.60,2023.45,2016.96,11834752.00,2040.71,2071.97,2014.65,2042.65,2036.10,11386355.90
2021-02-24,2030.00,2065.25,2026.15,2061.00,2054.39,4987735.00,2048.33,2080.02,2024.54,2051.32,2044.74,10905173.40
2021-02-25,2076.00,2152.00,2073.00,2144.35,2137.47,16085897.00,2057.93,2088.80,2034.61,2060.18,2053.58,10550576.10
2021-02-26,2117.00,2133.90,2070.70,2085.80,2079.11,17297575.00,2064.08,2094.39,2040.14,2064.61,2057.98,10872896.20
2021-03-01,2110.20,2112.00,2062.50,2101.70,2094.96,8159670.00,2070.29,2099.46,2043.89,2071.52,2064.87,10960104.20
2021-03-02,2122.00,2130.00,2089.10,2106.00,2099.25,7915073.00,2078.52,2104.52,2049.30,2076.17,2069.51,10763002.20
2021-03-03,2121.05,2219.90,2107.20,2202.10,2195.04,14733134.00,2084.62,2116.92,2054.96,2088.05,2081.35,11140576.80
2021-03-04,2180.00,2189.95,2157.70,2175.85,2168.87,9892597.00,2094.13,2125.07,2064.82,2098.87,2092.13,11269283.40
2021-03-05,2156.00,2211.95,2153.05,2178.70,2171.71,11773630.00,2104.03,2135.77,2074.79,2108.71,2101.94,11366576.00
2021-03-08,2168.50,2231.90,2168.00,2191.10,2184.07,9002404.00,2112.88,2149.97,2092.10,2127.01,2120.18,11168246.70
2021-03-09,2200.00,2213.80,2146.60,2191.05,2184.02,6993792.00,2128.07,2166.06,2105.40,2143.77,2136.89,10684150.70
2021-03-10,2207.00,2215.10,2170.25,2181.95,2174.95,5316182.00,2145.78,2181.05,2119.81,2155.86,2148.95,10716995.40
2021-03-12,2195.00,2206.40,2123.90,2137.60,2130.75,7783173.00,2157.68,2186.49,2124.90,2155.19,2148.27,9886723.00
2021-03-15,2140.05,2148.90,2080.50,2108.90,2102.14,7706170.00,2159.98,2187.99,2125.88,2157.50,2150.58,8927582.50
2021-03-16,2114.00,2126.00,2095.50,2100.60,2093.86,6402757.00,2160.36,2189.39,2129.18,2157.39,2150.47,8751891.20
2021-03-17,2098.05,2103.00,2035.10,2055.35,2048.76,8865521.00,2157.97,2186.69,2123.78,2152.32,2145.42,8846936.00
2021-03-18,2072.90,2084.80,2001.00,2009.10,2002.66,9528809.00,2153.15,2173.18,2113.16,2133.02,2126.18,8326503.50
2021-03-19,1991.00,2095.85,1982.80,2082.00,2075.32,19284892.00,2134.25,2163.77,2095.67,2123.64,2116.83,9265733.00
2021-03-22,2071.00,2074.00,2033.20,2062.40,2055.79,8571196.00,2125.75,2149.97,2083.68,2112.01,2105.23,8945489.60
2021-03-23,2061.95,2109.70,2056.00,2087.50,2080.81,8039865.00,2115.09,2137.76,2072.48,2101.65,2094.91,8849235.70
2021-03-24,2079.75,2079.75,2040.40,2047.30,2040.74,7763726.00,2103.07,2124.35,2061.86,2087.27,2080.58,8926229.10
2021-03-25,2054.00,2054.00,1985.00,1991.45,1985.06,10153757.00,2087.77,2108.24,2043.34,2068.22,2061.59,9409986.60
2021-03-26,2012.00,2013.70,1973.70,1994.65,1988.25,9313160.00,2069.47,2088.97,2028.32,2053.93,2047.34,9562985.30
2021-03-30,2008.00,2048.90,1991.55,2029.30,2022.79,9433842.00,2056.26,2078.97,2019.42,2045.97,2039.40,9735752.50
2021-03-31,2018.00,2049.90,1999.00,2003.10,1996.68,7499740.00,2046.66,2071.36,2009.78,2036.22,2029.69,9845450.80
2021-04-01,2018.00,2030.00,2003.15,2021.85,2015.37,5410307.00,2038.66,2064.06,2006.58,2032.86,2026.35,9499929.40
2021-04-05,2024.95,2025.00,1962.10,1992.60,1986.21,6864856.00,2033.86,2058.08,2002.69,2031.21,2024.70,9233534.10
2021-04-06,2004.00,2004.95,1969.00,1984.30,1977.94,6465241.00,2035.16,2048.99,2001.31,2021.44,2014.96,7951569.00
2021-04-07,2000.00,2046.90,1993.30,2002.85,1996.43,11198918.00,2028.06,2046.28,1997.32,2015.49,2009.03,8214341.20
2021-04-08,2011.00,2022.00,1993.00,2005.35,1998.92,7092878.00,2022.97,2037.51,1991.02,2007.28,2000.84,8119642.50
2021-04-09,1998.45,2006.35,1980.00,1982.05,1975.69,6478482.00,2014.84,2030.17,1984.98,2000.75,1994.33,7991118.10
2021-04-12,1959.00,1961.40,1900.25,1911.15,1905.02,9646031.00,2005.34,2020.91,1976.51,1992.72,1986.33,7940345.50
2021-04-13,1924.00,1940.60,1917.85,1931.80,1925.61,8958261.00,1996.54,2013.60,1970.92,1986.44,1980.07,7904855.60
2021-04-15,1926.30,1961.00,1913.00,1944.30,1938.07,9102492.00,1988.37,2004.81,1963.07,1977.94,1971.59,7871720.60
2021-04-16,1936.60,1949.90,1926.45,1932.10,1925.90,7225679.00,1980.23,1994.81,1955.81,1970.84,1964.52,7844314.50
2021-04-19,1904.00,1916.40,1890.00,1901.70,1895.60,8527967.00,1968.83,1983.45,1944.49,1958.82,1952.54,8156080.50
2021-04-20,1910.50,1919.00,1890.45,1901.15,1895.05,7939490.00,1957.38,1972.85,1937.33,1949.68,1943.42,8263543.90
